show_id,title,type,genre
s235,Oggy Oggy,TV Show,TV Comedies
s236,Untold: Caitlyn Jenner,Movie,Documentaries
s236,Untold: Caitlyn Jenner,Movie,LGBTQ Movies
s236,Untold: Caitlyn Jenner,Movie,Sports Movies
s237,Boomika,Movie,Horror Movies
s237,Boomika,Movie,International Movies
s237,Boomika,Movie,Thrillers
s238,Boomika (Hindi),Movie,Horror Movies
s238,Boomika (Hindi),Movie,International Movies
s238,Boomika (Hindi),Movie,Thrillers
s239,Boomika (Malayalam),Movie,Horror Movies
s239,Boomika (Malayalam),Movie,International Movies
s239,Boomika (Malayalam),Movie,Thrillers
s240,Boomika (Telugu),Movie,Horror Movies
s240,Boomika (Telugu),Movie,International Movies
s240,Boomika (Telugu),Movie,Thrillers
s241,The Witcher: Nightmare of the Wolf,Movie,Action & Adventure
s241,The Witcher: Nightmare of the Wolf,Movie,Anime Features
s242,Manifest,TV Show,TV Dramas
s242,Manifest,TV Show,TV Mysteries
s242,Manifest,TV Show,TV Sci-Fi & Fantasy
s243,Comedy Premium League,TV Show,International TV Shows
s243,Comedy Premium League,TV Show,TV Comedies
s244,Everything Will Be Fine,TV Show,International TV Shows
s244,Everything Will Be Fine,TV Show,Spanish-Language TV Shows
s244,Everything Will Be Fine,TV Show,TV Comedies
s245,Gunshot,Movie,Dramas
s245,Gunshot,Movie,International Movies
s245,Gunshot,Movie,Thrillers
s246,Korean Cold Noodle Rhapsody,TV Show,Docuseries
s246,Korean Cold Noodle Rhapsody,TV Show,International TV Shows
s247,Man in Love,Movie,Dramas
s247,Man in Love,Movie,International Movies
